Submission id,prolificid,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ad421d8a8d169b54276ac9,6005acd51e4c4b82bf23ba93,APPROVED,2023-07-11T11:53:03.303000Z,2023-07-11T12:25:53.688000Z,2023-07-13T17:17:54.913000,2023-07-11T12:25:54.281131Z,1971,NOCODE,218,English,27,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64ad421fe61ba56108d5de43,607db40f31882d35ea503aa6,APPROVED,2023-07-11T11:50:59.410000Z,2023-07-11T12:17:00.662000Z,2023-07-13T17:17:55.034000,2023-07-11T12:17:09.003301Z,1562,NOCODE,353,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64ad42234ffb3b5bc0a0540c,60b005fde343f75a2b76d406,APPROVED,2023-07-11T11:51:07.726000Z,2023-07-11T12:30:59.810000Z,2023-07-13T17:17:55.150000,2023-07-11T12:31:00.547678Z,2393,NOCODE,481,English,35,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
64ad42285218f9dd85f3a747,5f8c16ed7ed13e3473e7f164,APPROVED,2023-07-11T11:51:04.257000Z,2023-07-11T12:28:44.484000Z,2023-07-13T17:17:55.260000,2023-07-11T12:28:45.029258Z,2261,https://warwick.co1.qualtrics.com/jfe/form/SV_af4BJL6Lx0cSWPQ?PROLIFIC_PID=5f8c16ed7ed13e3473e7f164&amp;STUDY_ID=64ad3e6d809bcb722494e16e&amp;SESSION_ID=64ad42285218f9dd85f3a747,226,English,32,Female,Asian,Pakistan,New Zealand,Pakistan,English,DATA_EXPIRED,DATA_EXPIRED
64ad4228d1e1c9c1e494e17d,646bc273334eee3290a158ed,APPROVED,2023-07-11T11:52:35.447000Z,2023-07-11T12:44:53.843000Z,2023-07-13T17:17:55.372000,2023-07-11T12:44:54.338795Z,3139,NOCODE,21,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad422b4ffb3b5bc0a05411,6099e0b42fbccb6c8b4d370f,APPROVED,2023-07-11T11:51:13.353000Z,2023-07-11T12:19:43.048000Z,2023-07-13T17:17:55.493000,2023-07-11T12:19:43.543377Z,1710,NOCODE,43,"Afrikaans, English",27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ad42331b32590fb3092e2c,608fad5ef7c5dc389d357601,APPROVED,2023-07-11T11:51:15.114000Z,2023-07-11T12:58:08.294000Z,2023-07-13T17:17:55.675000,2023-07-11T12:58:08.813139Z,4014,NOCODE,408,English,34,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64ad4244e7a8f1b24d37ef16,5f8038ceefbc9f02632dce3c,APPROVED,2023-07-11T11:51:38.379000Z,2023-07-11T12:36:39.907000Z,2023-07-13T17:17:55.790000,2023-07-11T12:36:41.141447Z,2702,NOCODE,641,English,37,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
64ad4247194fbbd6c0e02743,6460f320e8ba103d47ded9d6,APPROVED,2023-07-11T11:51:42.008000Z,2023-07-11T12:21:30.571000Z,2023-07-13T17:17:55.907000,2023-07-11T12:21:31.004588Z,1789,NOCODE,21,"Afrikaans, English",54,Female,White,United Kingdom,South Africa,United Kingdom,English,No,Full-Time
64ad425b9d98a6d05663e245,610d1cf3c7b4411f1643e501,APPROVED,2023-07-11T11:51:55.618000Z,2023-07-11T13:03:45.126000Z,2023-07-13T17:17:56.027000,2023-07-11T13:04:02.671154Z,4310,NOCODE,155,"English, Portuguese",20,Male,White,DATA_EXPIRED,Portugal,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
